,doc1.txt,doc2.txt,doc3.txt,doc4.txt,doc5.txt
BOI,0.0,0.0,2.321928094887362,0.0,0.0
CAVAL,2.643856189774725,0.0,0.0,1.3219280948873624,0.0
ENVOLV,0.0,2.321928094887362,0.0,0.0,0.0
JOG,0.7369655941662062,0.7369655941662062,0.0,0.0,0.7369655941662062
LAC,0.0,0.0,2.321928094887362,0.0,0.0
MELHOR,2.321928094887362,0.0,0.0,0.0,0.0
PEC,2.321928094887362,0.0,0.0,0.0,0.0
PEÃ,0.7369655941662062,0.7369655941662062,0.7369655941662062,0.0,0.0
POLIC,0.0,0.0,0.0,0.0,2.321928094887362
REI,0.0,2.321928094887362,0.0,0.0,0.0
RODEI,0.0,0.0,0.0,2.321928094887362,0.0
TORR,0.0,2.321928094887362,0.0,0.0,0.0
XADREZ,1.3219280948873624,0.0,0.0,0.0,1.3219280948873624
