,doc1.txt,doc10.txt,doc11.txt,doc12.txt,doc13.txt,doc14.txt,doc15.txt,doc2.txt,doc3.txt,doc4.txt,doc5.txt,doc6.txt,doc7.txt,doc8.txt,doc9.txt
1917,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ACONTECE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ALÉM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AMIGOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AMÉRICA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
APROVADOS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARRASCAETA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ARTILHEIROS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
BASQUETE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BOA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOHEMIAN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BOOK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BRASIL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BRASILEIRA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BRASILEIRÃO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CADÊ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CALENDÁRIO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CANNES,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
CERIMÔNIA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CHAMADA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEGOU,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
COMPLETA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CONFIRA,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
CONHEÇA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CONVOCA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CONVOCADOS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
COPA,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
DEFINIR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DELES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DESTAQUE,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DESTAQUES,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DISCUTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DÁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ELIMINATÓRIAS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ESCOLHA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ESPERA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ESTATÍSTICAS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EUROPEU,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FASE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FESTIVAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FEVEREIRO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FORAM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FUTEBOL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GALVÃO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GARÇONS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
GRANDE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRANDES,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
GREEN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HÁ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IFAL-MACEIÓ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
INDICADOS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
JOGADOR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JOGADORES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JOGAR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
JOGOS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JURADOS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LISTA,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
LUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MAIS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MATÍAS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MUNDO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NOITE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
OBSERVAR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OLÍMPICO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OLÍMPICOS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ORAL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OSCAR,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0
OURO,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OUTROS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PALMA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PARASITA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
PONTOS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PREMIAÇÃO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PRINCIPAIS,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PRÊMIO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PRÊMIOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QUATRO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RECADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RECEBERÁ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
RHAPSODY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ROMA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RÓTULOS,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
RÚSSIA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SAFRA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SAIBA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SCHMIDT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SELEÇÃO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SETEMBRO,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SISU,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SONHA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
SÉRIE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
TEMPORADA,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
TITE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TROFÉU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
URUGUAI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VAI,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
VENCEDOR,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VENCEDORES,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
VINHO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VIÑA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
VOTAM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
